Name,Title,aiconalt,View,State,View1,asizebase
,,,,,,
Tejash,Good product,4.0 out of 5 stars,"Reviewed in India on October 26, 2018",Verified Purchase,"I buy it Rs.2999 in Great Indian Sale offer. Fast delivery, good product.",31 people found this helpful
T N SESHADRI,Preeti is not the preeti of the past 10 years we will never buy it again.,5.0 out of 5 stars,"Reviewed in India on July 6, 2020",Verified Purchase,Preeti is not the one of the past 10 years very bad quality nowPreeti is not the preeti of the past 10 years as its present products are useless .Product quality is so bad . Within few months all three jars caps broken and most dangerous is its plastic pcs gets grind along with the food and gone in to our stomach.  Latter two jars blades got loosen and not setting again at all as its threading gone Now mixers itself has gone  bad and it got jammed not rotating . Repair shop fellow says its bush to be changed .. We are fed up of this product in all means .. we will never buy it again.,7 people found this helpful
Vikas Sharma,Substandard Product - Pathetic Mixer and Mainly Jar Quality,1.0 out of 5 stars,"Reviewed in India on November 17, 2020",Verified Purchase,"I purchased this Preethi Diamond Mixer Grinder after recommendations from My friends but lookslike Preethi manufacturing substandard products and cheats customers with fake promises. I will highlight a few points which clarifies your doubt and reconsiderations:
1: Motor heats up within 20-25 5 seconds and creates foul small/ sound.
2: Due to heating issues (Hardly run 20-25 seconds) wheel melted for one of the 1.5 lt Jar. Try to grind Onion and Tomato.
3: Small jar creates so much heat after running 6-7 minutes which could burn a finger. Accidently this had happened to me, while grinding mint leaves within a few seconds after realizing some foul smell, i tried to open the Jar i got this burn mark.

Hope these help you to decide to stay away from Preethi.
Basically, it appears like a substandard product for a 750-watt motor, it would not have heat up that fast. Even the grinding is not happening properly
Trust me jar quality is extremely poor.
Last, kindly make arrangements to reimburse the total amount and take this pathetic Preethi Mixer Grinder.

As I am dealing directly and indirectly with Amazon for many years, I never expected such things earlier.",6 people found this helpful
Manish Holla,Extremely robust product in it's price segment,5.0 out of 5 stars,"Reviewed in India on November 17, 2019",Verified Purchase,"It was my first ever purchase of mixer exceeding 550W. So I was a bit curious to what power it can deliver.

I just put the chutney grinder with nothing inside it and turned to whip mode. To my astonishment, the whole body of mixer grinder turned at once (not exaggerating). Ooofff
My old prestige 550w Juicer mixer grinder didn't even had enough power to churn the spices.
I purchased this from Cloudtail India for ₹2999 on Deal Of The Day. You will get a big jar, 1 small jar, and 1 tiny jar (Tiny in the sense smallest among them). The plastic body quality is nice. There is a white indicator just beside the knob to let you know if there is power supply to the mixer.
The gauge of wire is good with respect to the current being passed. It is thick and there are 3 terminals (earth, positive, negative), unlike my old one which had only 2 terminals that too, the wire was thinner than tissue paper😅 and quality objectionable. *Do register you product on Preethi mixer website to avail warranty.*

Overall this purchase was made nice by Amazon fulfillment and the product is nice

You won't regret your purchase of this mixer.",8 people found this helpful
puru,Worst quality product,2.0 out of 5 stars,"Reviewed in India on September 23, 2018",Verified Purchase,"I had never used a Preethi product before, but I bought this mixer after seeing good reviews here. To my horrible experience, the lid of the chutney jar broke in the very first usage when I tried to open it. The plastic material is very cheap and I am wondering if I have got a fake product.
Very disappointed, I can't return the product as the return period is over :-(",19 people found this helpful
RRRao,I am very happy with my purchase.,5.0 out of 5 stars,"Reviewed in India on August 19, 2018",Verified Purchase,"I purchased in freedom sale at rs. 2730/-. received in original factory packing. manufactured in the month of july 2018. stainless steel jars are very strong and beautiful.. 1 no.big jar. 2 nos. chutney jars of different sizes (photos enclosed}. we used the big jar once .there is no smell, no big sound. regarding durability, I will write my review after one month. I am very thank full to CLOUD DEAL and AMAZON for the purchase of my favourite mixer at lesser rate.",13 people found this helpful
STANLY,Good heavy load mixer,5.0 out of 5 stars,"Reviewed in India on August 15, 2020",Verified Purchase,"We are using more than two years.  Heavy loading also possible,  grinding flours for making idly,  dosa also possible. Till now no problem.  Very very satisfied.",10 people found this helpful
Madhu Prabhu,Amazon didn't validate that the product provided is indeed a used and faulty product - disappointed,1.0 out of 5 stars,"Reviewed in India on June 18, 2019",Verified Purchase,"The Mixer delivered with the original order looked open item and was not even working when turned on.  When I requested for a replacement yesterday, though it was delivered on the same day but this time it looked used not just openbox.  I saw the scratches and something that was grinded (some food stuff) on the jars.  When turned on with a jar on it, it was making noise as if the blades were not fitted properly, had to tighten the blades.  Still waiting to see how it performs grinding on the 3 jars.  Totally disappointed.",12 people found this helpful
o kiran babu,Best in class!!,5.0 out of 5 stars,"Reviewed in India on April 27, 2019",Verified Purchase,Gud product compared to all premium looking(but not in performance) products out there...it may not look premium but its 750W motor does the job better...you can buy without any hesitation...it wont disappoint you....only con is you should hold the cap of jar with a tighter hand while grinding otherwise the cap may come out due to the high speed motor rotation. Hope it helps!,14 people found this helpful
PradMan,Work Horse Mixer Grinder,5.0 out of 5 stars,"Reviewed in India on June 22, 2021",Verified Purchase,"This is the 3rd Preeti Blue Leaf in our family and it is definitely the work horse.
The 750w does all the job neatly and without any hassles.
Sound is bit on the higher side, which I believe is true for all brands.
We even grind our batter with this mixie and are happy with the batter outcome, but it get over heat for longer grinding timings which should be avoided as mentioned in the instructions leaflet.",3 people found this helpful
K Sai Srinivas,"No annoying sound and smooth, stylish and classy looks!!",5.0 out of 5 stars,"Reviewed in India on December 12, 2018",Verified Purchase,"This one is very smooth and there is no annoying sound, moreover, there is a special lid called Flexi-lid that can be used with the 1.5 litre jar that keeps things close for less quantities and the sound gets reduced. this is really a good idea and it is really useful while using the big jar for low quantity. Looks stylish and the while LED power indicator under blue transparent plastic looks classy.....",10 people found this helpful
DD,Preethi Performs,5.0 out of 5 stars,"Reviewed in India on August 27, 2018",Verified Purchase,"It was time to replace my Preethi Nitro Plus (110Volts) which I purchased in the US about 6 years ago.  It served me well in Bangalore too.  But slowly, the blades, jars tops and motor started to give way.  For 6 years I never once had to  service it.  I ordered the Preethi Zion but it was too huge for my kitchen.  Post a lot of reading ( A South Indian is always a huge Made in India -Preethi Fan) I picked the three jar Preethi Blue Leaf Diamond.  It arrived on time (as Amazon always does).  The product did not have any physical damages.  The Date of Manufacturing on the box was current.  It has been over a week and it performs really well.  Compared to my old mixer, the noise on this one is music to the ears. The jars have no issue currently be it the rubber or the jar tops ( as complained by many reviewers).  I use mixer every day - from juices to curries, chutneys to powders , it is a must have in my kitchen. Blue Leaf is compact, sits pretty on the counter top, looks simple and does its job.  The medium jar is much smaller in size compared to the older model I had.  The bigger jar is a fair size.  The smallest one is the standard size.  I would say it has two small jars and one big one.  Very handy for a small family.  I am very happy with my purchase.  I would however like to reassess post few weeks. Hoping that it stands the test of time!",7 people found this helpful
CK,Excellent product,5.0 out of 5 stars,"Reviewed in India on August 17, 2020",Verified Purchase,"Used earlier 500 W grinders, this is much powerful with ease of use &faster, I like the reduction of capacity of the same jar with attachment, this is unique to this product...",7 people found this helpful
Edwin,will disappoint you when you start using.,3.0 out of 5 stars,"Reviewed in India on April 9, 2020",Verified Purchase,"We have an old Preethi Mixer Grinder that worked well.  Now we thought of buying a new one, and we bought this product: Preethi Blue diamond.  From the second or third use onwards it is disappointing us.  The handle of the jars are fixed with two star headed screws. After grinding when we remove the jars we have to hold the handle to remove it; no other option. But each time we remove the handle the screws become loose.  To fix them back I had to go and buy a screw driver.  These tightening continues after each use.  We don't know how long we can use these jars.",6 people found this helpful
Harish Patil,Very good Product.,5.0 out of 5 stars,"Reviewed in India on August 17, 2020",Verified Purchase,"Using it for almost a month and satisfied with the product. Used it to grind almonds, walnuts etc and find it good. Only thing I found was the big jar cannot be used if we need very fine grinded particles. This may be because of the blade placement in the big jar (one of the cross blade is a little on the upper side and may not grind fine). Other 2 small jars are good. Cleaning of jars and machine is also easy and simple. Overall happy with the performance of the product.",4 people found this helpful
reema,Best mixer .... Thumbs up👍,5.0 out of 5 stars,"Reviewed in India on October 20, 2019",Verified Purchase,"I loved this product and got it for a good deal price.. I did a lot of research before buying and read reviews as well. But finally i feel made the right choice by buying this preethi mixer. It comes with 3 jars and also spatulla and one extra cover to covert the big jar to 1ltr.
Go for it its verygood for normal use. Even dosa batter grinds well.",9 people found this helpful
Rahul Goswami,PREETHI DIAMOND mixer grinder & AMAZON a disappointment!,1.0 out of 5 stars,"Reviewed in India on September 28, 2019",Verified Purchase,The CHATNI jar didn't even make a paste of small chopped onions. I had bought it seeing the differently designed blades of the CHATNI jar but was profusely disappointed. Amazon gave us PRIME membersa hard time returning it even on the second day of purchase. Never ever will buy electronical appliances or anything expensive from Amazon again.CROOKS! Bought PANASONIC from a store and I am happy.,6 people found this helpful
pratap,Worst service to customers if you have a problem,1.0 out of 5 stars,"Reviewed in India on April 1, 2019",Verified Purchase,It's been one year since my purchase.. it suddenly stopped working.. when checked with customer care they mentioned that I need to take the mixer to any of the 3 service centers available in Bangalore.. All the 3 service centers are almost in the outskirts of Bangalore.. Instead of travelling so far I feel like it's better to get it fixed in a nearby private service center. Saves time and travelling expenses.. not expected this from an esteemed brand,10 people found this helpful
Mohan,Two years on and it runs steady,5.0 out of 5 stars,"Reviewed in India on November 4, 2018",Verified Purchase,"I bought this Preethi mixie nearly two years ago and it is running steadily.

I bought a Preethi for a couple of reasons -

- Past experience with the brand was positive (better half and others had also recommended it)
- Amzon had a sale and free shipping

Bottomline: A good mixie for basic grinding, powdering needs for a small household.",8 people found this helpful
GOPI KISHORE,Used product,5.0 out of 5 stars,"Reviewed in India on January 2, 2020",Verified Purchase,"I like this product..This is second time I ordered same mixer in amazon ...Last time I got used product, which is returned by some other customer.. now also i got used product ..But only chutney jar was used ...Remaining all are fresh ...I came to know this ..By smell and small old marks of chutney ...You can trust preethi ..But not seller's of amazon..",5 people found this helpful
Priya,Nice product. Serves the purpose well.,5.0 out of 5 stars,"Reviewed in India on July 7, 2019",Verified Purchase,"Nice product. I had a prestige mixie previously. It used to take longer to grind anything compared to this one. But this one is quick and the mini jar is very useful for making ginger garlic paste, chutneys for 2 person.
There was no manual in the delivery.",7 people found this helpful
Mayuri Shah,My favourite,5.0 out of 5 stars,"Reviewed in India on April 17, 2021",Verified Purchase,"I love it.. It's very sturdy.. It blends absolutely everything.. Purees are easy now.. Only problem is its little higher noise level,though not for me.. I make idli batter too.. My fav part is Jar sizes.. My mom has Philips mixer and I can totally compare this one positively..",3 people found this helpful
N S Abhilasha,Works well and does its job.,5.0 out of 5 stars,"Reviewed in India on July 10, 2021",Verified Purchase,"This is a good brand as my mother has used the same brand for last 5 years. Thats why I also purchsed it. Its sturdy and grinds well. Bit on the noisier side of grinders. The smallest one works amazing for dry grind and the middle one for chutneys, tomato puree. The large one works okay but could be better. I do not grind things in large quantities which may be a reason I have not found the largest jar more useful. Highly recommend. Slightly priced higher than other brands but its worth it. Using it for sometime now.",2 people found this helpful
Sudarshan Kidambi,Worth Buying . Good Grinder Mixer . Super 👍👍👍👍,5.0 out of 5 stars,"Reviewed in India on May 1, 2021",Verified Purchase,"Good Quality . Best Grinding So Far . Worth Buying .It Also Makes Lot Of Noise But Lesser Than Regular Market Mixer Grinder . 3 Speeds . 3 Jars . Comes In One Big Box .Best to Buy 2 year Warranty for it
Total Rewiew Stars
4 Stars
🌟 🌟 🌟 🌟",3 people found this helpful
Rizwana p.,Excellent product 👌,5.0 out of 5 stars,"Reviewed in India on July 4, 2019",Verified Purchase,"Excellent product I have been using since 2 years, noise level is less compared to other brands ,easy to use and worth buying.",10 people found this helpful
Syamlal,Best product ☺️☺️👍👍👍,5.0 out of 5 stars,"Reviewed in India on October 9, 2019",Verified Purchase,"I bought this product in 2017 October. But still it works good. It's main attraction is , comes with 750 watt powerful motor- long lasting!!
Its noise level is quite ok..little noisy
We can easily clean jars ..yeah easy to clean..
And easy to use also..
Other feature is that good quality stainless steel jars, have maximum grinding efficiency.
Flexible lid-convert your 1.5 jar into 1.0 jar!!!! 2 in 1
It has cut-off protection feature..it works when voltage fluctuations or overload happens☺️☺️☺️☺️",5 people found this helpful
