Name,Title,aiconalt,View,State,View1,asizebase
Nicolas Encabo,Very powerful..works very well,5.0 out of 5 stars,"Reviewed in India on May 11, 2020",Verified Purchase,"It solved the main purpose we bought it for. My wife wanted to make dosa batter at home and it does it so well. Even it grinds all sort of spices and rice, lentils etc very well. What else do you need to grind? I bought it after review from my friend and its worth. It is much better than many other known brands.",One person found this helpful
Anonymous,"Give it a blindshot, you'll love it!",5.0 out of 5 stars,"Reviewed in India on October 24, 2019",Verified Purchase,"Had never heard of this brand before. Being hard core south Indians my family is mostly on idlis dosas chutney and more of coconut based gravies. So never any mixer grinder satisfied the smoothness of the battter/grounded masala. But this mixer grinder won my heart the moment I held it. So freaking sturdy! The outcome too was flawless, fine and just the right! Just one drawback, the chutney jar is too small I feel, wish it had been a little bigger!",3 people found this helpful
Customer Review,Sujata mixer is very genuine mixer I ever seen,5.0 out of 5 stars,"Reviewed in India on July 12, 2021",Verified Purchase,"Genuine quality mixer my previous mixer quality is level D, it seems Sujata mixer is made by a professional engineering mind so we can say easy to clean easy to use. 900w motor is very powerful it makes more noise but less than my previous mixer. Thanks to Amazon for timing delivery even in this pendamic.",
Saleesh,Best mixer grinder model in the world.,5.0 out of 5 stars,"Reviewed in India on November 26, 2021",Verified Purchase,"If you buy this particular model of mixer grinder, you will feel like other brands models are toys.
Very powerful, sturdy built, easy to clean and good looking.
I know people settled abroad, who buy this model from India and carry with them.",
Mom ,Happy with the purchase,5.0 out of 5 stars,"Reviewed in India on December 12, 2020",Verified Purchase,"We did a lot of research before baying this and it has live up to the expectations so far.

Not very noisy yet very powerful, grinds very fast. Grinding batter for idli and Dosa has become so quick. The only concern I have is the cleaning of area under blades. Overall, does a great job and worth the price.
Probably one of the best mixers available in India.",
Abdulraoof Arakkal,Excellent product,5.0 out of 5 stars,"Reviewed in India on February 7, 2022",Verified Purchase,"Very good quality product... job well done. i was using preethi before but this one is far better than preethi, jobs done in less time than preethi... less time mean less electricity bill too :).. motor sound is less than preethi too.",
Amazon Customer,Defective product,1.0 out of 5 stars,"Reviewed in India on July 22, 2020",Verified Purchase,"The product was defective, as it was getting overheated when we used the wet grinder jar. I had bought this mixer grinder after reading a lot of articles and reviews, and I'm sorely disappointed. I am not sure whether this was Amazon's or Sujata's fault. The packaging was also bad. Not satisfied, returned the item.",3 people found this helpful
Shashank,Good but not as great as mentioned in reveiws,4.0 out of 5 stars,"Reviewed in India on September 23, 2019",Verified Purchase,"Cons:

- The plastic material of guard and jar is brittle.
- Not as great as it sounds from the reveiws, takes time to grind dosa batter, nuts, dry masala to very fine consistency (more than a minute).

Pros:
- Blender cap has locks
- Not too loud
- Has whipping button
- Blades are of good quality",One person found this helpful
shikha shukla,Best mixer grinder i have came across.,5.0 out of 5 stars,"Reviewed in India on June 16, 2022",Verified Purchase,This one is the best ever mixer grinder i have ever used. It dont make noise and grinds so fast. Easy to clean and looks pretty good. I love tha sujata mixer and grinder and i recommend this to everyone who is looking for a good mixer and grinder,
"sameer from Mango City, Ratnagiri, Maharashtra",Sujata - Best quality and Superb performance,5.0 out of 5 stars,"Reviewed in India on January 8, 2021",Verified Purchase,"Sujata's name is enough .. I took Sujata Dynamics Dix Mixer Grinder (On 01_01_2021).. Its quality and performance is tremendous .. !! Everything quality stuff. Only after using it will you know what is the power of 900 watts motor . !! Really a great product .. !! Despite having a powerful 900 watts motor, the noise is very low.  #Another feature of Sujata Dynamics Dix Mixer Grinder is that the #GEAR that comes to its motor is made of #Aluminum ... !! It comes with rubber for other mixers and the rest of Sujata's models .. !! The jar Coupler is made of Rubber which is of very high quality. In short, every item of this product is made of high quality ..! # You can take this product with your eyes closed .. !! Mixer body material, jars material is superb .. !! The important thing is #Awesome #Indian #Product .. !! YOU MUST GO WITH THIS Brand Especially WITH Model #Dynamix DX Mixer Grinder..!!",
Divya,Perfect for everyone,5.0 out of 5 stars,"Reviewed in India on June 18, 2021",Verified Purchase,wonderful mixie.. i bought this especially for making dosa batter. and it works perfectly fine for 900 watts.. highly recommend it. Even 500ml jar works good for a single person making coconut chutney. Initially i hesitated for having 500mL jar thinking it wont be good for a single person requiring small amount of chutney. But it proved me wrong. This is perfect for everyone!! made my life easier !!,
Ariba,Noice is alot...,4.0 out of 5 stars,"Reviewed in India on June 13, 2022",Verified Purchase,Noice a lot...build quality is authentication...not a stylish machine but value for money...if they can reduce noice quality so it will awsome for me...so i returned it.,One person found this helpful
jagadeeshwar t,Return,2.0 out of 5 stars,"Reviewed in India on February 8, 2021",Verified Purchase,,3 people found this helpful
Rashmi S,Excellent!!,5.0 out of 5 stars,"Reviewed in India on July 9, 2021",Verified Purchase,"The mixer is too good. Very easy to use. It just too few mins to grind dal. Total value for money.
I was little skeptical about the date of manufacture. But seller has sent recently manufactured product. Very happy and satisfied with the purchase.",
J Shankar,High quality and superb performance,5.0 out of 5 stars,"Reviewed in India on November 25, 2019",Verified Purchase,"Best product money can buy. It has been a year now. Still looks new meaning good quality plastics. The performanceand power is awesome. This is only mixer which i had bought twice. The earlier one was 10 years back. Overall I have purchased more than 13  mixers in the span of 35 years. All top brands and never survived more than two years. Sujatha saved me repeated visits to the repair shops for blade, bush wornout and replacements , jar leak  issues etc. Love you Sujatha.",One person found this helpful
