Name,Title,aiconalt,View,State,View1,asizebase
Mahesh Palav,Defective mixer grinder,1.0 out of 5 stars,"Reviewed in India on June 23, 2021",Verified Purchase,Not satisfied with Bajaj mixer grinder as the product is defective and non returnable. This is the second mixer grinder I have ordered from Bajaj and it was a defective product. If Bajaj wants to keep non returnable policy then they should check for product quality at their end before dispatching it to the customer. Zero customer satisfaction from my end. Lost faith in the brand.,
Riya C.,Good product at this range,4.0 out of 5 stars,"Reviewed in India on December 27, 2018",Verified Purchase,"1stly the packing of the product is good.. And the machine and jars are also good.. But while grinding it's stopped suddenly I don't know why after that I restarted then it's work properly..
2ndly it's worth of money..
I would recommend you to buy this product.. It's good.. I give 4 out of 5 to this product.. ⏳",9 people found this helpful
ATISH,Don't buy bajaj mixers online. It is not serviceable as per service centre rejected the log.,1.0 out of 5 stars,"Reviewed in India on July 30, 2020",Verified Purchase,Worst customer service. The product delivered is faulty. The middle jar is not working properly. The spatula is missing. I have launched complaint on bajaj customer service. They sent their service person and told that online products are not serviceable. Then again I called the customer service center. They said that the jar or any cosmetics have no warranty. So in this situation I am helpless. My suggestion is don't buy any product from online which is to be daily used.,One person found this helpful
K Shalini Raj K,Super Fast grinder,4.0 out of 5 stars,"Reviewed in India on September 20, 2021",Verified Purchase,"Prefect gift for house warming n wedding... 3 jars inside box.. this is the second time i purchased this product. Bajaj still maintains the quality of product.

No complains so far. Worth buying - only white colour mixer is available.

Small and compact 👍

Overall 4 stars - reduced one star for price.",
D A,Very useful,4.0 out of 5 stars,"Reviewed in India on June 19, 2019",Verified Purchase,"Very useful..
I have no issue with noise level nor in cleaning n of course very easy to use as well. I use to grind garam masala in smallest jar. N dry chillies, n many more in middle jar. N in large jar i make juices of banana, mango, watermelon n my protein shake. Wanted it for so long time. Thanks Amazon.",4 people found this helpful
Savita,Useless,1.0 out of 5 stars,"Reviewed in India on July 12, 2021",Verified Purchase,"Product is really good at start.
Later it does the work like an old appliance.
Takes time to grind.
Make loads of noise.
Not at all easy to clean.
There is no stability if the hand is not kept sturdy while grinding the masala the container just opens up. There is no lock feature.. useless it is .
The reem inside the machine doesnt open up easily for cleaning.
Its already breaking !
So the product is not worth the money",
Malini Rajendra,Excellent product,5.0 out of 5 stars,"Reviewed in India on December 13, 2019",Verified Purchase,"This is almost a flawless product and I got it with an amazing discount from Amazon. True value for the price I paid for this mixer grinder. It's extremely easy to use, pretty much easy to clean and the noise level is good as well, if not the best. To conclude I'd say that it's absolutely worth buying. Thank you.",2 people found this helpful
Jyoti Gadgil,Worst product,1.0 out of 5 stars,"Reviewed in India on June 7, 2021",Verified Purchase,"Very poor performance, it is not even capable of grind a simple mango. Making a Mango shake is biggest hurdle for me via this mixer. Please don't buy this product.
And the retail Cloudtail they are making fool of all of us. I have initiated 4 times for return but nobody comes to pickup, similarly i have complaint 2 times to Amazon customer care but they give you assurity thay pick up will be on time but nobody comes. A big loss, not expected from Amazon CC",One person found this helpful
forkarun,"low quality, and not in line with the BAJAJ brand name",1.0 out of 5 stars,"Reviewed in India on December 4, 2019",Verified Purchase,"The Rex-500 which I bought recently (almost new still) has got a loose screw tumbling around inside the motor casing.  One can hear the clanking sound when moving the machine, but not when running it.  The RX-500 which I bought a year or so ago has got it's switch stuck in a single speed 'on' position, and has to be operated with the wall main switch only.  Why did I buy the second unit, when the first one itself has become defective in a year?  I think I went by the brand name, and took the first defect as an odd one, much to my chagrin!  Now I do know better!!",
farook,Poor quality parts. Dissapointed,2.0 out of 5 stars,"Reviewed in India on August 19, 2020",Verified Purchase,"The product is of below average quality. In the 4month of use, one of the jars had a broken rotating fan. Now need to buy the spares. The rubbers around the jar are of bad quality. Cleaning is difficult. Plus the blades inside the jars not too good. My previous sumeet mixer is in its 15th year and still works fine. Very dissapointed with this buy. And above all it is noisy",
Ashutosh K.,DONOT REGRET LATER AFTER BUYING THIS ..,1.0 out of 5 stars,"Reviewed in India on December 22, 2021",Verified Purchase,"The product stopped working one day.. it was in warantee period.. but the nightmares started from there . When i connected with bajaj customer care they said they ll send a technition and it will get fixed.. i asked them any charges for this ? They said technition visit is free as your product is in warantee but any parts change ,you will have to pay.. SHOCKING.. i again repeated its in warantee - same reply pay for the parts. TO NOTE THEIR WARANTEE STANDS FOR TECHNITION VISITS, NOT FOR PRODUCTS.. THEY ARE HAVING THEIR OWN DICTIONARY FOR GLOBAL TERMS..BE CAREFUL WITH THIS DAYLIGHT ROBBERY.. still wanna purchase any bajaj product do at ur own risk",
Aaron fernandes,customers trust maintain,4.0 out of 5 stars,"Reviewed in India on December 1, 2020",Verified Purchase,"Mixer is good and powerful motor for grinding suitable for small family, but I regret to say that delivery had a glitch when I opened the Amazon box and inside the grinder box was open from beneath with a small tap was put when I opened it the plastic knife (stirer) was missing. Please Amazon make a note it's not a big thing missing but it hurts we feel cheated. Find some solution to it.",
Kapil,Good product but not for medium to heavy duty,3.0 out of 5 stars,"Reviewed in India on February 13, 2021",Verified Purchase,"Bajaj products are mostly good.since this machine is 500 watt so is good only for making chutney or blending process.

We cannot even grind soaked pulses,rice (fr dosa ,idli,pakora).if we try to run it fr a minute machinery is gone.",One person found this helpful
Ashishtiwari,"Compact, Good looking & Quality Product",5.0 out of 5 stars,"Reviewed in India on August 4, 2020",Verified Purchase,"Very good looking & portable mixer grinder.
Noise level is little higher side obviously if you are grinding some thing, Noise will produce. Motor is power full. I have used it to grind udad daal, rice also greavy, motor not heated, working fine. good for 4 family members .
All the jars are working well. Only cut the small pieces of things if you are using small jar.
Packaging was not good, just sent the original packing directly without outer Amazon packing cover. 1*/5 for packing.

Overall Good Product",
Ankita Palekar,Happy with the product,4.0 out of 5 stars,"Reviewed in India on October 13, 2018",Verified Purchase,"I am writing it almost after 2 months if its use.

I am satisfied with the product. First time I got damaged container so I replaced it next time it was good.

I rated it 4 because of the lid. It will be better if it has a locking lid, then airtight one. Also you need to continuously hold the lid while grinding otherwise there is danger of gravy being spilled",7 people found this helpful
mohammad yousuf ali,5 Star rating product,5.0 out of 5 stars,"Reviewed in India on October 7, 2017",Verified Purchase,This is my third purchase of same product . Nice performance for residential purpose,15 people found this helpful
Kalyani Das,Will never make a purchase from Bajaj again,1.0 out of 5 stars,"Reviewed in India on July 30, 2022",Verified Purchase,"Thought that I have made a good purchase as it's the Bajaj, but no I made a mistake. Out of the three jars the biggest one's blade was not at all working from initial stage, after lodging complaint twice for the same, I am left with a solution that I have to now pay for the whole jar as it doesn't come under their warranty guidelines. Wow! Such amazing features you people have got. A customer will buy the product with full payment and then if this type of situation occurs they have to pay whole separately again.
Totally not recommendable!",
Talukdar,Go for it,4.0 out of 5 stars,"Reviewed in India on September 26, 2020",Verified Purchase,"The machine is quite versatile and is a very good buy for everyday use. We are using this product for more than a month now and are quite happy having bought this product. Before this we had a lifelong machine, which concked off and thus this time we wanted to upgrade a little yet didn't want to spend too much. We evaluated various machines such as Amazon basics, havells, philips all in the 2000-2500 price range but ultimately settled on this owing to the reviews on Amazon.",
Amal,Disappointed,2.0 out of 5 stars,"Reviewed in India on August 17, 2021",Verified Purchase,"I was a happy customer of Bajaj mixer grinder over last 10 yerars, but this purchase completely shook my trust on the product. All the jars are of inferior quality, im infact using my the jars of my old mixer on this machine. Maxhine Gets tripped off at very small load also. Totally disappointed with the product.",
Amazon Customer,Value for money,5.0 out of 5 stars,"Reviewed in India on April 6, 2022",Verified Purchase,"I have had it for 3 months now and it is running trouble free. The blender is ready good. In the mornings, when I am in a great hurry I often use the large jar for smoothies, middle jar to prepare onion paste and small jar for tomato paste and it is able to manage all that efficiently.",One person found this helpful
Niyaz Ahmed,Not too bad nor too good,3.0 out of 5 stars,"Reviewed in India on October 31, 2020",Verified Purchase,"Now I am writing review after two years of use.
Out of 3, two jars completely damage. The big one is jammed completely, and the mid one (smaller than the big) is broken.
Machine working fine but jars damaged now. I was searching for only jars but I don't see any. Don't know whether to go for new one or what.",One person found this helpful
ritu abani,"the mixi stopped in between when I was using it, bajaj is a cheater brand, poor exprience",1.0 out of 5 stars,"Reviewed in India on August 11, 2020",Verified Purchase,"the mixi stopped in between when I was using it, its a new piece on the very first I cam across this problem. Its a branded product still it felt like a local product and would never ever recommend to buy bajaj appliances, they are the most pathetic ones, Bajaj mixer stopped in between whats the problem, either you should replace it or refund our money back and i can call for the other mixi, Its a bajaj REX 500 model, purchased from amazon and the exprience with amazon is amazing as always b ut we are not satisfied with the product. The product is very very bad poor exprience and cannot recommend to anyone for its purchase the mixi stopped in between when I was using it, its a new piece on the very first I cam across this problem.",One person found this helpful
bharath,Good product for 2 to 3 members use 1/4 jar quantity only,5.0 out of 5 stars,"Reviewed in India on May 25, 2020",Verified Purchase,Good product I got this at 1899Rs Hyderabad. Good packing 👍 good delivery in time. Product is awsome but need to put only half load. Wen you put any ginger garlic to paste pls do not fill the jar. 1/4th of jar quantity shall be run for better results. It's a 0.5KW motor. Over load may not be possible. Good product for a family of 2 to 4 members,3 people found this helpful
Siddharth Singh,"Poor quality, Noisy product.",2.0 out of 5 stars,"Reviewed in India on April 17, 2021",Verified Purchase,"Noisy, grinding is not very effective even during making tomato chutney, does not work evenly , big chunks remains in the jar...Same issues happen when making a shake or grinding anything...
Earlier we had inalsa and it was 10 times better than this product.
Brought this product reading reviews I think made a big mistake as take double time than usual to do same work which I could easily do in Inalsa.
Poor quality product .",One person found this helpful
Harish S,Noisy but good,4.0 out of 5 stars,"Reviewed in India on June 25, 2019",Verified Purchase,"The product is a bit noisy but it looks good and is easy to use. The jars are sturdy and locks properly. The lids are also fine. Also the bushes for the base is good and there are no unnecessary jerks while grinding. The plug provided is a 2 pin plug which I was a bit amazed at when I first saw. Apart from the plug and the noise, it is a best bet to buy this product at the given price.",One person found this helpful
Sagar Rai,Babaj electronics with a Brand of Trust,5.0 out of 5 stars,"Reviewed in India on June 5, 2021",Verified Purchase,"Strong Product and fine quality as the Company Bajaj Promises,
With all these features one needs for Mixer and Grinder but remember it's not a juicer only mixy and for grinding purpose.",One person found this helpful
Mridula kamath,Not too good not too bad.,3.0 out of 5 stars,"Reviewed in India on November 21, 2020",Verified Purchase,Does it’s job well and grinds quite efficiently. But on the noisier side. Also the jars don’t feel quite sturdy. Hence not too sure about it’s longevity. But for the price one cannot expect more I suppose. So if you are ok with yeh noise and will be careful about handling jars carefully this product is for you,
T Ghoshal,Waste of money,1.0 out of 5 stars,"Reviewed in India on July 12, 2021",Verified Purchase,Posting the review after a year of purchase. The mixer broke down twice already. Even basic things like wet masala grinding and milk shakes make the device heat up and stop.,One person found this helpful
Nikil Kotian,Value for money,4.0 out of 5 stars,"Reviewed in India on April 13, 2021",Verified Purchase,"I purchased it for ₹1950. Since it is 500w mixer, jar size is smaller compare to other 600w or 700w mixer. keep this in mind before purchasing.
Build quality is decent not impressive. Power cord length is small, for modern kitchen it should not be a problem.",One person found this helpful
